Product,SKU,Category,Main Image,Gallery 2,Gallery 3,Image Type,Status
"Thinning Scissors","SGT-HE-007","Hair Equipment","/products/hair-equipment/thinning-scissors.svg","/products/hair-equipment/thinning-scissors-2.svg","/products/hair-equipment/thinning-scissors-3.svg","Illustration","OK"
"Barber Hair Pomade","SGT-HS-003","Hair Styling","/products/hair-styling/barber-hair-pomade.png","/products/hair-styling/barber-hair-pomade-2.png","/products/hair-styling/barber-hair-pomade-3.png","Photograph","OK"
"Hair Volumizing Powder","SGT-HS-007","Hair Styling","/products/hair-styling/hair-volumizing-powder.png","/products/hair-styling/hair-volumizing-powder-2.png","/products/hair-styling/hair-volumizing-powder-3.png","Photograph","OK"
"Heat Protection Spray","SGT-HS-006","Hair Styling","/products/hair-styling/heat-protection-spray.png","/products/hair-styling/heat-protection-spray-2.png","/products/hair-styling/heat-protection-spray-3.png","Photograph","OK"
"Matte Hair Wax","SGT-HS-001","Hair Styling","/products/hair-styling/matte-hair-wax.png","/products/hair-styling/matte-hair-wax-2.png","/products/hair-styling/matte-hair-wax-3.png","Photograph","OK"
"Professional Hair Gel","SGT-HS-002","Hair Styling","/products/hair-styling/professional-hair-gel.png","/products/hair-styling/professional-hair-gel-2.png","/products/hair-styling/professional-hair-gel-3.png","Photograph","OK"
"Professional Hair Spray","SGT-HS-004","Hair Styling","/products/hair-styling/professional-hair-spray.png","/products/hair-styling/professional-hair-spray-2.png","/products/hair-styling/professional-hair-spray-3.png","Photograph","OK"
"Volumizing Hair Mousse","SGT-HS-005","Hair Styling","/products/hair-styling/volumizing-hair-mousse.png","/products/hair-styling/volumizing-hair-mousse-2.png","/products/hair-styling/volumizing-hair-mousse-3.png","Photograph","OK"
"Compact Powder","SGT-MU-003","Makeup","/products/makeup/compact-powder.svg","/products/makeup/compact-powder-2.svg","/products/makeup/compact-powder-3.svg","Illustration","OK"
"Liquid Matte Lipstick","SGT-MU-005","Makeup","/products/makeup/liquid-matte-lipstick.svg","/products/makeup/liquid-matte-lipstick-2.svg","/products/makeup/liquid-matte-lipstick-3.svg","Illustration","OK"
"Makeup Primer","SGT-MU-008","Makeup","/products/makeup/makeup-primer.svg","/products/makeup/makeup-primer-2.svg","/products/makeup/makeup-primer-3.svg","Illustration","OK"
"Professional Concealer","SGT-MU-002","Makeup","/products/makeup/professional-concealer.svg","/products/makeup/professional-concealer-2.svg","/products/makeup/professional-concealer-3.svg","Illustration","OK"
"Professional Eyeshadow Palette","SGT-MU-004","Makeup","/products/makeup/professional-eyeshadow-palette.svg","/products/makeup/professional-eyeshadow-palette-2.svg","/products/makeup/professional-eyeshadow-palette-3.svg","Illustration","OK"
"Professional HD Foundation","SGT-MU-001","Makeup","/products/makeup/professional-hd-foundation.svg","/products/makeup/professional-hd-foundation-2.svg","/products/makeup/professional-hd-foundation-3.svg","Illustration","OK"
"Professional Makeup Brush Set","SGT-MU-009","Makeup","/products/makeup/professional-makeup-brush-set.svg","/products/makeup/professional-makeup-brush-set-2.svg","/products/makeup/professional-makeup-brush-set-3.svg","Illustration","OK"
"Volumizing Mascara","SGT-MU-007","Makeup","/products/makeup/volumizing-mascara.svg","/products/makeup/volumizing-mascara-2.svg","/products/makeup/volumizing-mascara-3.svg","Illustration","OK"
"Waterproof Eyeliner","SGT-MU-006","Makeup","/products/makeup/waterproof-eyeliner.svg","/products/makeup/waterproof-eyeliner-2.svg","/products/makeup/waterproof-eyeliner-3.svg","Illustration","OK"
"Cuticle Pusher & Cutter Set","SGT-MP-004","Manicure & Pedicure","/products/manicure-pedicure/cuticle-pusher-cutter-set.svg","/products/manicure-pedicure/cuticle-pusher-cutter-set-2.svg","/products/manicure-pedicure/cuticle-pusher-cutter-set-3.svg","Illustration","OK"
"Electric Foot Spa Tub","SGT-MP-007","Manicure & Pedicure","/products/manicure-pedicure/electric-foot-spa-tub.svg","/products/manicure-pedicure/electric-foot-spa-tub-2.svg","/products/manicure-pedicure/electric-foot-spa-tub-3.svg","Illustration","OK"
"Pedicure Bowl","SGT-MP-006","Manicure & Pedicure","/products/manicure-pedicure/pedicure-bowl.svg","/products/manicure-pedicure/pedicure-bowl-2.svg","/products/manicure-pedicure/pedicure-bowl-3.svg","Illustration","OK"
"Professional Foot File","SGT-MP-005","Manicure & Pedicure","/products/manicure-pedicure/professional-foot-file.svg","/products/manicure-pedicure/professional-foot-file-2.svg","/products/manicure-pedicure/professional-foot-file-3.svg","Illustration","OK"
"Professional Manicure Kit","SGT-MP-001","Manicure & Pedicure","/products/manicure-pedicure/professional-manicure-kit.svg","/products/manicure-pedicure/professional-manicure-kit-2.svg","/products/manicure-pedicure/professional-manicure-kit-3.svg","Illustration","OK"
"Professional Nail Cutter Set","SGT-MP-003","Manicure & Pedicure","/products/manicure-pedicure/professional-nail-cutter-set.svg","/products/manicure-pedicure/professional-nail-cutter-set-2.svg","/products/manicure-pedicure/professional-nail-cutter-set-3.svg","Illustration","OK"
"Professional Pedicure Kit","SGT-MP-002","Manicure & Pedicure","/products/manicure-pedicure/professional-pedicure-kit.svg","/products/manicure-pedicure/professional-pedicure-kit-2.svg","/products/manicure-pedicure/professional-pedicure-kit-3.svg","Illustration","OK"
"Acrylic Powder & Liquid Set","SGT-NL-005","Nail Products","/products/nail-products/acrylic-powder-liquid-set.svg","/products/nail-products/acrylic-powder-liquid-set-2.svg","/products/nail-products/acrylic-powder-liquid-set-3.svg","Illustration","OK"
"Base & Top Coat Set","SGT-NL-002","Nail Products","/products/nail-products/base-top-coat-set.svg","/products/nail-products/base-top-coat-set-2.svg","/products/nail-products/base-top-coat-set-3.svg","Illustration","OK"
"Nail Art Brush & Tool Kit","SGT-NL-006","Nail Products","/products/nail-products/nail-art-brush-tool-kit.svg","/products/nail-products/nail-art-brush-tool-kit-2.svg","/products/nail-products/nail-art-brush-tool-kit-3.svg","Illustration","OK"
"Nail Files & Buffer Pack","SGT-NL-009","Nail Products","/products/nail-products/nail-files-buffer-pack.svg","/products/nail-products/nail-files-buffer-pack-2.svg","/products/nail-products/nail-files-buffer-pack-3.svg","Illustration","OK"
"Nail Primer & Dehydrator","SGT-NL-003","Nail Products","/products/nail-products/nail-primer-dehydrator.svg","/products/nail-products/nail-primer-dehydrator-2.svg","/products/nail-products/nail-primer-dehydrator-3.svg","Illustration","OK"
"Professional Gel Nail Polish","SGT-NL-001","Nail Products","/products/nail-products/professional-gel-nail-polish.svg","/products/nail-products/professional-gel-nail-polish-2.svg","/products/nail-products/professional-gel-nail-polish-3.svg","Illustration","OK"
"Professional Nail Drill","SGT-NL-007","Nail Products","/products/nail-products/professional-nail-drill.svg","/products/nail-products/professional-nail-drill-2.svg","/products/nail-products/professional-nail-drill-3.svg","Illustration","OK"
"Professional Nail Tips","SGT-NL-004","Nail Products","/products/nail-products/professional-nail-tips.svg","/products/nail-products/professional-nail-tips-2.svg","/products/nail-products/professional-nail-tips-3.svg","Illustration","OK"
"UV/LED Nail Lamp","SGT-NL-008","Nail Products","/products/nail-products/uv-led-nail-lamp.svg","/products/nail-products/uv-led-nail-lamp-2.svg","/products/nail-products/uv-led-nail-lamp-3.svg","Illustration","OK"
"High Frequency Facial Machine","SGT-PE-003","Professional Equipment","/products/professional-equipment/high-frequency-facial-machine.svg","/products/professional-equipment/high-frequency-facial-machine-2.svg","/products/professional-equipment/high-frequency-facial-machine-3.svg","Illustration","OK"
"Hot Towel Cabinet","SGT-PE-005","Professional Equipment","/products/professional-equipment/hot-towel-cabinet.svg","/products/professional-equipment/hot-towel-cabinet-2.svg","/products/professional-equipment/hot-towel-cabinet-3.svg","Illustration","OK"
"Magnifying Lamp","SGT-PE-004","Professional Equipment","/products/professional-equipment/magnifying-lamp.svg","/products/professional-equipment/magnifying-lamp-2.svg","/products/professional-equipment/magnifying-lamp-3.svg","Illustration","OK"
"Multifunction Beauty Machine","SGT-PE-006","Professional Equipment","/products/professional-equipment/multifunction-beauty-machine.svg","/products/professional-equipment/multifunction-beauty-machine-2.svg","/products/professional-equipment/multifunction-beauty-machine-3.svg","Illustration","OK"
"Professional Facial Steamer","SGT-PE-001","Professional Equipment","/products/professional-equipment/professional-facial-steamer.svg","/products/professional-equipment/professional-facial-steamer-2.svg","/products/professional-equipment/professional-facial-steamer-3.svg","Illustration","OK"
"Professional Hair Steamer","SGT-PE-007","Professional Equipment","/products/professional-equipment/professional-hair-steamer.svg","/products/professional-equipment/professional-hair-steamer-2.svg","/products/professional-equipment/professional-hair-steamer-3.svg","Illustration","OK"
"UV Tool Sterilizer Cabinet","SGT-PE-002","Professional Equipment","/products/professional-equipment/uv-tool-sterilizer-cabinet.svg","/products/professional-equipment/uv-tool-sterilizer-cabinet-2.svg","/products/professional-equipment/uv-tool-sterilizer-cabinet-3.svg","Illustration","OK"
"Hydraulic Salon Styling Chair","SGT-FR-001","Salon Furniture","/products/salon-furniture/hydraulic-salon-styling-chair.svg","/products/salon-furniture/hydraulic-salon-styling-chair-2.svg","/products/salon-furniture/hydraulic-salon-styling-chair-3.svg","Illustration","OK"
"Manicure Table","SGT-FR-007","Salon Furniture","/products/salon-furniture/manicure-table.svg","/products/salon-furniture/manicure-table-2.svg","/products/salon-furniture/manicure-table-3.svg","Illustration","OK"
"Professional Barber Chair","SGT-FR-002","Salon Furniture","/products/salon-furniture/professional-barber-chair.svg","/products/salon-furniture/professional-barber-chair-2.svg","/products/salon-furniture/professional-barber-chair-3.svg","Illustration","OK"
"Professional Facial Bed","SGT-FR-006","Salon Furniture","/products/salon-furniture/professional-facial-bed.svg","/products/salon-furniture/professional-facial-bed-2.svg","/products/salon-furniture/professional-facial-bed-3.svg","Illustration","OK"
"Salon Shampoo Station","SGT-FR-003","Salon Furniture","/products/salon-furniture/salon-shampoo-station.svg","/products/salon-furniture/salon-shampoo-station-2.svg","/products/salon-furniture/salon-shampoo-station-3.svg","Illustration","OK"
"Salon Stool","SGT-FR-008","Salon Furniture","/products/salon-furniture/salon-stool.svg","/products/salon-furniture/salon-stool-2.svg","/products/salon-furniture/salon-stool-3.svg","Illustration","OK"
"Salon Storage Cabinet","SGT-FR-009","Salon Furniture","/products/salon-furniture/salon-storage-cabinet.svg","/products/salon-furniture/salon-storage-cabinet-2.svg","/products/salon-furniture/salon-storage-cabinet-3.svg","Illustration","OK"
"Salon Styling Station Mirror Unit","SGT-FR-004","Salon Furniture","/products/salon-furniture/salon-styling-station-mirror-unit.svg","/products/salon-furniture/salon-styling-station-mirror-unit-2.svg","/products/salon-furniture/salon-styling-station-mirror-unit-3.svg","Illustration","OK"
"Salon Trolley","SGT-FR-005","Salon Furniture","/products/salon-furniture/salon-trolley.svg","/products/salon-furniture/salon-trolley-2.svg","/products/salon-furniture/salon-trolley-3.svg","Illustration","OK"
"Aloe Vera Gel","SGT-SK-006","Skin Care","/products/skin-care/aloe-vera-gel.png","/products/skin-care/aloe-vera-gel-2.png","/products/skin-care/aloe-vera-gel-3.png","Photograph","OK"
"Face Scrub","SGT-SK-008","Skin Care","/products/skin-care/face-scrub.svg","/products/skin-care/face-scrub-2.svg","/products/skin-care/face-scrub-3.svg","Illustration","OK"
"Face Toner","SGT-SK-004","Skin Care","/products/skin-care/face-toner.svg","/products/skin-care/face-toner-2.svg","/products/skin-care/face-toner-3.svg","Illustration","OK"
